ì˙éû	ínâ∫êÖà 	X3	ãCà≥	ínãÖí™é¨
8.1E+09	6.3668	5.9	1005.52	-8.42
8.1E+09	6.3664	5.9	1005.83	-17.46
8.1E+09	6.3663	5.9	1005.67	-26.32
8.1E+09	6.365	5.9	1005.75	-34.93
8.1E+09	6.3653	5.9	1005.83	-43.25
8.1E+09	6.3692	5.9	1005.67	-51.21
8.1E+09	6.3653	5.9	1005.83	-58.76
8.1E+09	6.3642	5.9	1005.9	-65.86
8.1E+09	6.3643	5.9	1006.27	-72.46
8.1E+09	NA	NA	NA	-78.51
8.1E+09	NA	NA	NA	-83.97
8.1E+09	6.3626	5.9	1005.9	-88.82
8.1E+09	NA	NA	NA	-93.02
8.1E+09	6.3623	5.9	1006.12	-96.55
8.1E+09	6.3615	5.9	1006.2	-99.38
8.1E+09	6.3615	5.9	1006.27	-101.5
8.1E+09	NA	NA	NA	-102.9
8.1E+09	6.361	5.9	1006.35	-103.57
8.1E+09	6.3608	5.9	1006.8	-103.51
8.1E+09	6.3603	5.9	1006.95	-102.73
8.1E+09	6.3593	5.9	1006.95	-101.24
8.1E+09	6.3626	5.9	1006.8	-99.04
8.1E+09	6.357	5.9	1007.02	-96.17
8.1E+09	6.3563	5.9	1007.17	-92.64
8.1E+09	6.3559	5.9	1007.1	-88.49
8.1E+09	6.3551	5.9	1007.33	-83.74
8.1E+09	6.3546	5.9	1007.25	-78.44
8.1E+09	6.3538	5.9	1007.7	-72.63
8.1E+09	6.3517	5.9	1007.62	-66.35
8.1E+09	6.3512	5.9	1007.77	-59.66
8.1E+09	6.3508	5.9	1007.77	-52.6
8.1E+09	NA	NA	NA	-45.22
8.1E+09	6.3492	5.9	1008	-37.59
8.1E+09	NA	NA	NA	-29.76
8.1E+09	6.3483	5.9	1008.08	-21.79
8.1E+09	6.3471	5.9	1008.15	-13.74
8.1E+09	6.3458	5.9	1008.15	-5.68
8.1E+09	6.3442	5.9	1008.38	2.34
8.1E+09	6.3433	5.9	1008.6	10.26
8.1E+09	6.3426	5.9	1008.52	18.01
8.1E+09	6.3429	5.9	1008.38	25.55
8.1E+09	6.3418	5.9	1008.45	32.81
8.1E+09	6.341	5.9	1008.67	39.73
8.1E+09	6.3403	5.9	1008.45	46.27
8.1E+09	6.3389	5.9	1008.6	52.38
8.1E+09	6.3391	5.9	1008.38	58.01
8.1E+09	6.3389	5.9	1008.67	63.13
8.1E+09	6.3385	5.9	1008.83	67.68
8.1E+09	6.3425	5.9	1008.45	71.64
8.1E+09	6.3357	5.9	1008.67	74.99
8.1E+09	6.3351	5.9	1008.52	77.68
8.1E+09	6.3356	5.9	1008.6	79.71
8.1E+09	6.3356	5.9	1008.67	81.06
8.1E+09	6.3347	5.9	1008.52	81.72
8.1E+09	NA	NA	NA	81.68
8.1E+09	6.3361	5.9	1008.3	80.95
8.1E+09	NA	NA	NA	79.53
8.1E+09	NA	NA	NA	77.44
8.1E+09	6.3353	5.9	1008.23	74.68
8.1E+09	NA	NA	NA	71.28
8.1E+09	6.3403	5.9	1008.38	67.27
8.1E+09	6.3366	5.9	1008.45	62.67
8.1E+09	6.3365	5.9	1008.6	57.52
8.1E+09	6.3375	5.9	1008.15	51.87
8.1E+09	6.3374	5.9	1007.92	45.75
8.1E+09	NA	NA	NA	39.2
8.1E+09	6.3381	5.9	1007.85	32.29
8.1E+09	6.3386	5.9	1007.77	25.06
8.1E+09	6.3395	5.9	1007.77	17.57
8.1E+09	6.3407	5.9	1007.55	9.87
8.1E+09	6.3416	5.9	1007.33	2.03
8.1E+09	6.3416	5.9	1007.4	-5.9
8.1E+09	6.3432	5.9	1007.17	-13.85
8.1E+09	6.3446	5.9	1006.65	-21.77
8.1E+09	6.3459	5.9	1006.65	-29.59
8.1E+09	6.3461	5.9	1006.58	-37.25
8.1E+09	6.3464	5.9	1006.5	-44.69
